de,of/from/about,,1 - Essential
a,to/at,,1 - Essential
en,in/on/at,,1 - Essential
con,with,,1 - Essential
por,for/by/through/because of,often confused with para,1 - Essential
para,for/in order to/by (deadline),often confused with por,1 - Essential
sin,without,,1 - Essential
sobre,on/over/about,,1 - Essential
entre,between/among,,1 - Essential
hasta,until/up to/as far as,,1 - Essential
desde,since/from (time/place),,1 - Essential
según,according to,,1 - Essential
contra,against,,1 - Essential
durante,during,,1 - Essential
hacia,toward/around (time),,1 - Essential
bajo,under/below,,2 - Common
ante,before/in front of,formal,2 - Common
tras,after/behind,formal,2 - Common
mediante,by means of,formal,2 - Common
excepto,except,,2 - Common
salvo,except/save for,,2 - Common
incluso,including/even,,2 - Common
circa,around/approximately,rare/formal,3 - Rare
