¿qué?,what?,¿Qué quieres? — What do you want?,1 - Essential
¿quién?,who? (singular),¿Quién es? — Who is it?,1 - Essential
¿quiénes?,who? (plural),¿Quiénes son? — Who are they?,1 - Essential
¿cómo?,how?/what? (repeat),¿Cómo estás? — How are you?,1 - Essential
¿cuándo?,when?,¿Cuándo llegaste? — When did you arrive?,1 - Essential
¿dónde?,where?,¿Dónde estás? — Where are you?,1 - Essential
¿adónde?,where to?,¿Adónde vas? — Where are you going?,1 - Essential
¿por qué?,why?,¿Por qué lloras? — Why are you crying?,1 - Essential
¿cuál?,which?/what? (singular),¿Cuál prefieres? — Which do you prefer?,1 - Essential
¿cuáles?,which? (plural),¿Cuáles son tus favoritos? — Which are your favorites?,1 - Essential
¿cuánto/a?,how much?,¿Cuánto cuesta? — How much does it cost?,1 - Essential
¿cuántos/as?,how many?,¿Cuántos años tienes? — How old are you?,1 - Essential
¿de dónde?,from where?,¿De dónde eres? — Where are you from?,2 - Common
¿de quién?,whose?,¿De quién es esto? — Whose is this?,2 - Common
¿para qué?,what for?/why?,¿Para qué sirve? — What is it for?,2 - Common
¿con quién?,with whom?,¿Con quién hablas? — Who are you talking to?,2 - Common
¿a qué hora?,at what time?,¿A qué hora empieza? — What time does it start?,2 - Common
¿cuánto tiempo?,how long?,¿Cuánto tiempo llevas aquí? — How long have you been here?,2 - Common
