rank,lemma,pos,count
1,el,DET,3204
2,de,ADP,2494
3,en,ADP,1106
4,y,CCONJ,896
5,del,ADP,506
6,él,PRON,426
7,uno,DET,417
8,a,ADP,399
9,ser,AUX,352
10,españa,PROPN,330
11,que,PRON,307
12,por,ADP,287
13,su,DET,272
14,con,ADP,269
15,como,SCONJ,190
16,más,ADV,167
17,al,ADP,148
18,español,ADJ,135
19,que,SCONJ,124
20,país,NOUN,120
21,haber,AUX,107
22,o,CCONJ,107
23,principal,ADJ,94
24,entre,ADP,91
25,tener,VERB,84
26,este,DET,71
27,también,ADV,69
28,no,ADV,68
29,año,NOUN,67
30,todo,DET,66
31,siglo,NOUN,60
32,uno,PRON,59
33,para,ADP,59
34,millón,NOUN,58
35,desde,ADP,53
36,territorio,NOUN,52
37,mundo,NOUN,52
38,primero,ADJ,50
39,mayor,ADJ,49
40,gran,ADJ,45
41,parte,NOUN,44
42,hasta,ADP,44
43,sin,ADP,44
44,durante,ADP,44
45,según,ADP,43
46,estar,AUX,42
47,rey,NOUN,42
48,década,NOUN,42
49,aunque,SCONJ,39
50,económico,ADJ,39
51,dos,NUM,38
52,europa,PROPN,38
53,otro,DET,37
54,gobierno,PROPN,37
55,península,NOUN,36
56,e,CCONJ,36
57,zona,NOUN,36
58,sector,NOUN,35
59,sobre,ADP,34
60,segundo,ADJ,34
61,estado,PROPN,33
62,ciudad,NOUN,33
63,ibérico,ADJ,33
64,población,NOUN,33
65,castilla,PROPN,33
66,tras,ADP,33
67,madrid,PROPN,33
68,alto,ADJ,32
69,guerra,NOUN,32
70,internacional,ADJ,30
71,aragón,PROPN,30
72,nacional,ADJ,30
73,autónomo,ADJ,29
74,político,ADJ,29
75,reino,NOUN,29
76,social,ADJ,28
77,comunidad,NOUN,28
78,norte,NOUN,28
79,producir,VERB,28
80,artículo,PROPN,28
81,red,NOUN,28
82,del,DET,27
83,último,ADJ,27
84,constitución,PROPN,26
85,importante,ADJ,26
86,hacer,VERB,26
87,poder,NOUN,26
88,mientras,CCONJ,26
89,elección,NOUN,26
90,mucho,ADV,25
91,así,ADV,25
92,provincia,NOUN,24
93,francia,PROPN,24
94,competencia,NOUN,24
95,histórico,ADJ,24
96,hispania,PROPN,24
97,encontrar,VERB,24
98,territorial,ADJ,24
99,europeo,ADJ,24
100,lengua,NOUN,23
101,cultural,ADJ,23
102,destacar,VERB,23
103,desarrollo,NOUN,23
104,barcelona,PROPN,23
105,mundial,ADJ,22
106,ya,ADV,22
107,militar,ADJ,22
108,nombre,NOUN,22
109,embargo,NOUN,22
110,donde,PRON,22
111,cataluña,PROPN,22
112,cada,DET,22
113,europea,PROPN,21
114,dar,VERB,21
115,mismo,DET,21
116,tanto,ADV,21
117,sistema,NOUN,21
118,especialmente,ADV,21
119,unión,PROPN,20
120,nivel,NOUN,20
121,economía,NOUN,20
122,mayoría,NOUN,20
123,alguno,DET,20
124,seguir,VERB,20
125,león,PROPN,20
126,artículo,NOUN,20
127,presidente,NOUN,20
128,pib,PROPN,20
129,gobierno,NOUN,19
130,isla,NOUN,19
131,portugal,PROPN,19
132,además,ADV,19
133,romano,ADJ,19
134,obra,NOUN,19
135,contar,VERB,19
136,corona,PROPN,19
137,carlos,PROPN,19
138,fuerte,ADJ,19
139,general,ADJ,19
140,servicio,NOUN,19
141,cuyo,PRON,18
142,estados,PROPN,18
143,incluir,VERB,18
144,xx,NOUN,18
145,muerte,NOUN,18
146,periodo,NOUN,18
147,alfonso,PROPN,18
148,ese,DET,18
149,occidental,PROPN,18
150,nuevo,ADJ,18
151,empresa,NOUN,18
152,firmado,ADJ,18
153,soberanía,NOUN,17
154,propio,ADJ,17
155,llegar,VERB,17
156,oficial,ADJ,17
157,casi,ADV,17
158,convertir,VERB,17
159,junto,ADJ,17
160,llamado,ADJ,17
161,fernando,PROPN,17
162,i,CCONJ,17
163,región,NOUN,17
164,juan,PROPN,17
165,pero,CCONJ,17
166,aeropuerto,NOUN,17
167,producción,NOUN,17
168,derecho,NOUN,16
169,forma,NOUN,16
170,peninsular,ADJ,16
171,canarias,PROPN,16
172,municipio,NOUN,16
173,carácter,NOUN,16
174,producto,NOUN,16
175,hablar,VERB,16
176,uso,NOUN,16
177,punto,NOUN,16
178,mediante,ADP,16
179,público,ADJ,16
180,ratificado,ADJ,16
181,bien,ADV,15
182,conocido,ADJ,15
183,varios,DET,15
184,conjunto,NOUN,15
185,habitante,NOUN,15
186,organización,PROPN,15
187,pueblo,NOUN,15
188,navarra,PROPN,15
189,poder,AUX,15
190,proceso,NOUN,15
191,término,NOUN,15
192,otro,PRON,15
193,tú,PRON,15
194,edad,NOUN,15
195,ii,PROPN,15
196,córdoba,PROPN,15
197,existir,VERB,15
