rank,lemma,pos,count
1,ser,AUX,5
2,muiriel,PROPN,4
3,tener,VERB,3
4,qué,PRON,3
5,no,ADV,3
6,de,ADP,2
7,el,DET,2
8,cumpleaños,NOUN,2
9,intenter,VERB,1
10,algo,PRON,1
11,que,SCONJ,1
12,ir yo,VERB,1
13,a,ADP,1
14,dormir,VERB,1
15,estar,AUX,1
16,hacer,VERB,1
17,ese,PRON,1
18,hoy,ADV,1
19,junio,NOUN,1
20,y,CCONJ,1
21,feliz,PROPN,1
22,ahora,ADV,1
23,año,NOUN,1
24,contraseña,NOUN,1
25,volveré,VERB,1
26,pronto,ADV,1
27,palabra,NOUN,1
28,este,PRON,1
29,acabar,VERB,1
30,nunca,ADV,1
31,simplemente,ADV,1
32,saber,VERB,1
33,decir,VERB,1
34,uno,DET,1
35,conejo,NOUN,1
36,malo,ADJ,1
