of/from/about,de,,1 - Essential
to/at,a,,1 - Essential
in/on/at,en,,1 - Essential
with,con,,1 - Essential
for/by/through/because of,por,often confused with para,1 - Essential
for/in order to/by (deadline),para,often confused with por,1 - Essential
without,sin,,1 - Essential
on/over/about,sobre,,1 - Essential
between/among,entre,,1 - Essential
until/up to/as far as,hasta,,1 - Essential
since/from (time/place),desde,,1 - Essential
according to,según,,1 - Essential
against,contra,,1 - Essential
during,durante,,1 - Essential
toward/around (time),hacia,,1 - Essential
under/below,bajo,,2 - Common
before/in front of,ante,formal,2 - Common
after/behind,tras,formal,2 - Common
by means of,mediante,formal,2 - Common
except,excepto,,2 - Common
except/save for,salvo,,2 - Common
including/even,incluso,,2 - Common
around/approximately,circa,rare/formal,3 - Rare
