I,yo,Personal - Subject,,1 - Essential
you (informal),tú,Personal - Subject,,1 - Essential
he,él,Personal - Subject,,1 - Essential
she,ella,Personal - Subject,,1 - Essential
you (formal singular),usted,Personal - Subject,abbreviated as Ud.,1 - Essential
we (m/mixed),nosotros,Personal - Subject,,1 - Essential
we (f),nosotras,Personal - Subject,,1 - Essential
they (m/mixed),ellos,Personal - Subject,,1 - Essential
they (f),ellas,Personal - Subject,,1 - Essential
you all (formal/Latin Am. informal),ustedes,Personal - Subject,abbreviated as Uds.,1 - Essential
you all (informal Spain),vosotros,Personal - Subject,Spain only,1 - Essential
you all (informal Spain f),vosotras,Personal - Subject,Spain only,1 - Essential
me/myself,me,Personal - Direct Object,,1 - Essential
you/yourself (informal),te,Personal - Direct Object,,1 - Essential
him/it/you (m formal),lo,Personal - Direct Object,,1 - Essential
her/it/you (f formal),la,Personal - Direct Object,,1 - Essential
us/ourselves,nos,Personal - Direct Object,,1 - Essential
them/you all (m),los,Personal - Direct Object,,1 - Essential
them/you all (f),las,Personal - Direct Object,,1 - Essential
you all/yourselves (Spain),os,Personal - Direct Object,Spain only,1 - Essential
to me,me,Personal - Indirect Object,same form as direct object,1 - Essential
to you (informal),te,Personal - Indirect Object,same form as direct object,1 - Essential
to him/her/you (formal),le,Personal - Indirect Object,,1 - Essential
to us,nos,Personal - Indirect Object,same form as direct object,1 - Essential
to them/you all,les,Personal - Indirect Object,,1 - Essential
to you all (Spain),os,Personal - Indirect Object,Spain only,1 - Essential
myself,me,Reflexive,,1 - Essential
yourself (informal),te,Reflexive,,1 - Essential
himself/herself/yourself/themselves,se,Reflexive,also used for passive voice,1 - Essential
ourselves,nos,Reflexive,,1 - Essential
yourselves (Spain),os,Reflexive,Spain only,1 - Essential
something/anything,algo,Indefinite,,1 - Essential
nothing/anything (negative),nada,Indefinite,,1 - Essential
someone/anyone,alguien,Indefinite,,1 - Essential
nobody/no one,nadie,Indefinite,,1 - Essential
some/any (one),alguno/a,Indefinite,,1 - Essential
none/no one,ninguno/a,Indefinite,,1 - Essential
some (plural),algunos/as,Indefinite,,1 - Essential
