rank,word,count
1,de,60130
2,la,49098
3,que,48517
4,no,45258
5,a,43801
6,el,42798
7,en,33424
8,es,32030
9,tom,28606
10,un,25435
11,me,18495
12,se,18096
13,una,16841
14,por,15984
15,los,15815
16,lo,14845
17,y,13950
18,él,12641
19,con,11683
20,su,11447
21,mi,11417
22,las,10957
23,está,10889
24,qué,10189
25,para,10069
26,ella,9234
27,te,9121
28,le,8909
29,más,8821
30,al,7973
31,del,6761
32,mary,6569
33,yo,5938
34,tiene,5637
35,tu,5406
36,este,5286
37,si,5240
38,muy,5135
39,esta,5123
40,como,4985
41,estoy,4793
42,eso,4726
43,son,4543
44,fue,4386
45,tengo,4279
46,estaba,4135
47,hay,4125
48,todo,3977
49,quiero,3968
50,hacer,3855
51,casa,3799
52,ha,3732
53,pero,3731
54,aquí,3711
55,cuando,3631
56,puedo,3487
57,todos,3366
58,puede,3280
59,tiempo,3184
60,tan,3117
61,gusta,3100
62,sus,3082
63,esto,3074
64,era,3051
65,vez,3023
66,ser,3015
67,nada,2969
68,ya,2942
69,mucho,2941
70,algo,2891
71,he,2884
72,bien,2858
73,nos,2856
74,soy,2696
75,nunca,2639
76,favor,2618
77,cómo,2586
78,solo,2555
79,dos,2536
80,ir,2438
81,siempre,2415
82,sé,2411
83,ellos,2330
84,ahora,2311
85,mañana,2288
86,están,2286
87,dónde,2271
88,o,2254
89,dijo,2214
90,hace,2187
91,estás,2175
92,quién,2175
93,trabajo,2146
94,creo,2142
95,día,2135
96,ese,2132
97,tienes,2118
98,sin,2070
99,mejor,2068
100,dinero,1999
101,tú,1994
102,vida,1971
103,hoy,1967
104,años,1962
105,hablar,1957
106,puedes,1946
107,verdad,1930
108,libro,1902
109,voy,1861
110,había,1857
111,mis,1848
112,eres,1837
113,nadie,1825
114,esa,1783
115,sobre,1768
116,va,1745
117,has,1739
118,usted,1716
119,poco,1706
120,quiere,1702
121,antes,1689
122,ver,1683
123,hombre,1658
124,tres,1611
125,mundo,1595
126,demasiado,1547
