rank,lemma,pos,count
1,el,DET,116901
2,él,PRON,69795
3,de,ADP,60129
4,ser,AUX,56052
5,no,ADV,45101
6,a,ADP,43748
7,uno,DET,42701
8,en,ADP,33422
9,que,SCONJ,32240
10,yo,PRON,30293
11,tom,PROPN,28465
12,estar,AUX,25768
13,tener,VERB,19035
14,haber,AUX,18228
15,que,PRON,16274
16,por,ADP,15981
17,su,DET,14525
18,y,CCONJ,13945
19,tú,PRON,13751
20,poder,AUX,13288
21,mi,DET,13199
22,hacer,VERB,12131
23,con,ADP,11683
24,este,DET,10317
25,para,ADP,10066
26,querer,VERB,9538
27,más,ADV,8821
28,al,ADP,7817
29,qué,PRON,7443
30,mucho,ADV,7149
31,decir,VERB,6871
32,saber,VERB,6747
33,mary,PROPN,6567
34,del,ADP,6325
35,tu,DET,5951
36,todo,DET,5933
37,gustar,VERB,5560
38,ese,PRON,5543
39,ver,VERB,5529
40,si,SCONJ,5238
41,ir,VERB,5041
42,como,SCONJ,4980
43,este,PRON,4808
44,ir,AUX,4647
45,hablar,VERB,4350
46,estar,VERB,4217
47,casa,NOUN,3867
48,ese,DET,3783
49,pero,CCONJ,3727
50,aquí,ADV,3710
51,tanto,ADV,3654
52,vez,NOUN,3644
53,cuando,SCONJ,3501
54,creer,VERB,3426
55,día,NOUN,3299
56,mucho,DET,3284
57,tiempo,NOUN,3280
58,todo,PRON,3233
59,dar,VERB,3211
60,deber,AUX,3117
61,ya,ADV,2940
62,año,NOUN,2921
63,pensar,VERB,2800
64,bien,ADV,2790
65,algo,PRON,2758
66,nada,PRON,2736
67,qué,DET,2718
68,libro,NOUN,2684
69,nunca,ADV,2639
70,pasar,VERB,2623
71,favor,NOUN,2609
72,cómo,PRON,2586
73,venir,VERB,2576
74,vivir,VERB,2549
75,dos,NUM,2534
76,necesitar,VERB,2498
77,nuestro,DET,2475
78,siempre,ADV,2412
79,dejar,VERB,2392
80,alguno,DET,2377
81,ahora,ADV,2309
82,dónde,PRON,2259
83,parecer,VERB,2255
84,o,CCONJ,2246
85,quién,PRON,2203
86,padre,NOUN,2186
87,esperar,VERB,2168
88,hombre,NOUN,2164
89,llegar,VERB,2164
90,buen,ADJ,2122
91,nuevo,ADJ,2112
92,sin,ADP,2070
93,trabajo,NOUN,2043
94,comprar,VERB,2042
95,vida,NOUN,2028
96,comer,VERB,2006
97,dinero,NOUN,1996
98,amigo,NOUN,1980
99,niño,NOUN,1973
100,hoy,ADV,1931
101,verdad,NOUN,1928
102,mejor,ADJ,1882
103,persona,NOUN,1876
104,cosa,NOUN,1851
105,nadie,PRON,1819
106,uno,PRON,1816
107,llevar,VERB,1815
108,otro,DET,1814
109,encontrar,VERB,1803
110,hora,NOUN,1781
111,quedar,VERB,1763
112,sobre,ADP,1755
113,usted,PRON,1715
114,antes,ADV,1689
115,trabajar,VERB,1674
116,volver,VERB,1659
117,problema,NOUN,1653
118,tomar,VERB,1632
119,salir,VERB,1616
120,tres,NUM,1611
121,conocer,VERB,1601
122,solo,ADJ,1599
