rank,lemma,count
1,casa,3867
2,vez,3644
3,día,3299
4,tiempo,3280
5,año,2921
6,libro,2684
7,favor,2609
8,padre,2186
9,hombre,2164
10,trabajo,2043
11,vida,2028
12,dinero,1996
13,amigo,1980
14,niño,1973
15,verdad,1928
16,persona,1876
17,cosa,1851
18,hora,1781
19,problema,1653
20,mundo,1589
21,gente,1514
22,noche,1494
23,coche,1327
24,mujer,1299
25,hijo,1258
26,perro,1258
27,agua,1157
28,semana,1148
29,palabra,1146
30,inglés,1134
31,ciudad,1100
32,hermano,1057
33,madre,1053
34,escuela,1030
35,gato,995
36,país,974
37,puerta,969
38,clase,962
39,nombre,957
40,mano,955
41,habitación,935
42,mañana,934
43,lugar,925
44,idea,909
45,hermana,841
46,carta,825
47,parte,823
48,comida,823
49,idioma,793
50,pregunta,747
51,mes,743
52,tren,739
53,café,735
54,momento,734
55,ojo,728
56,cuenta,726
57,lengua,725
58,historia,709
59,fiesta,701
60,familia,694
61,error,693
62,profesor,677
63,estudiante,675
64,miedo,670
65,música,656
66,francés,651
67,auto,648
68,película,641
69,accidente,641
70,cama,638
71,minuto,626
72,ayuda,626
73,tipo,620
74,razón,611
75,amor,601
76,frase,593
77,teléfono,590
78,chica,585
79,forma,582
80,sueño,573
81,mesa,567
82,árbol,560
83,acuerdo,558
84,fin,557
85,lado,553
86,menudo,552
87,policía,551
88,camino,549
89,plan,545
90,punto,529
91,número,517
92,chico,512
93,cabeza,508
94,ventana,505
95,tarde,504
96,animal,504
97,esposa,501
98,juego,499
99,luz,496
100,calle,493
101,estación,490
102,manera,489
103,muerte,482
104,foto,475
105,flor,475
106,llave,472
107,lunes,470
108,examen,467
109,leche,466
110,sol,460
111,pelo,460
112,canción,453
113,niña,453
114,zapato,451
115,tienda,448
116,hija,442
117,edad,441
118,respuesta,439
119,guerra,435
120,pie,435
121,caja,432
122,verano,431
123,río,425
124,realidad,424
125,corazón,423
126,televisión,422
127,veces,418
128,reloj,415
129,gracias,414
130,ropa,414
131,autobús,413
132,regalo,409
133,cara,408
134,manzana,404
135,dolor,404
136,reunión,399
137,viaje,397
138,bicicleta,395
139,oficina,393
140,avión,380
141,noticia,374
142,color,371
143,hotel,369
144,conmigo,368
145,caso,367
146,opinión,365
147,bebé,356
148,gana,353
149,extranjero,346
150,caballo,346
151,colegio,345
152,pueblo,344
153,frío,342
154,pájaro,342
155,diccionario,342
156,hecho,339
157,cuarto,337
158,equipo,336
159,domingo,336
160,suerte,334
161,cuanto,331
162,enfermo,330
163,parque,330
164,calor,329
165,cielo,329
166,tarea,328
167,novia,328
168,hambre,326
169,doctor,323
170,sentido,321
171,huevo,320
172,médico,320
173,jardín,319
174,mayoría,318
175,vino,317
176,vuelta,316
177,oportunidad,315
