rank,lemma,count
1,tener,19035
2,hacer,12131
3,querer,9538
4,decir,6871
5,saber,6747
6,gustar,5560
7,ver,5529
8,ir,5041
9,hablar,4350
10,estar,4217
11,creer,3426
12,dar,3211
13,pensar,2800
14,pasar,2623
15,venir,2576
16,vivir,2549
17,necesitar,2498
18,dejar,2392
19,parecer,2255
20,esperar,2168
21,llegar,2164
22,comprar,2042
23,comer,2006
24,llevar,1815
25,encontrar,1803
26,quedar,1763
27,trabajar,1674
28,volver,1659
29,tomar,1632
30,salir,1616
31,conocer,1601
32,sentir,1565
33,poner,1538
34,llamar,1508
35,leer,1461
36,perder,1356
37,escribir,1319
38,jugar,1304
39,aprender,1258
40,morir,1246
41,pedir,1170
42,ayudar,1154
43,preguntar,1144
44,hacer él,1115
45,entender,1111
46,dormir,1087
47,estudiar,1086
48,empezar,1079
49,seguir,1062
50,usar,964
51,mirar,908
52,intentar,905
53,terminar,897
54,acabar,870
55,ganar,838
56,tocar,811
57,tratar,810
58,amar,795
59,escuchar,769
60,cambiar,761
61,beber,761
62,buscar,703
63,pagar,701
64,contar,690
65,entrar,687
66,poder,678
67,importar,677
68,caer,647
69,encantar,643
70,correr,642
71,abrir,628
72,recordar,607
73,llover,606
74,soler,590
75,decidir,583
76,cantar,581
77,olvidar,573
78,nadar,570
79,comenzar,556
80,conducir,555
81,ocurrir,541
82,llorar,518
83,visitar,508
84,costar,492
85,matar,492
86,caminar,469
87,conseguir,453
88,enseñar,449
89,levantar,448
90,romper,437
91,casar,430
92,traer,425
93,fumar,423
94,sonar,416
95,recibir,408
96,cerrar,408
97,echar,404
98,aceptar,402
99,robar,402
100,desear,400
101,sacar,389
102,responder,388
103,vender,388
104,existir,381
105,oír,380
106,viajar,378
107,mantener,366
108,sentar,365
109,confiar,364
110,funcionar,364
111,coger,359
112,preferir,358
113,comar,333
114,considerar,331
115,nacer,326
116,traducir,325
117,odiar,321
118,parar,321
119,explicar,316
120,andar,314
121,significar,310
122,permitir,307
123,despertar,304
124,ver él,304
125,suponer,302
126,mentir,300
127,subir,298
128,suceder,298
129,mostrar,297
130,cenar,294
131,volar,294
132,preocupar,293
133,elegir,287
134,lograr,285
135,resolver,284
136,deberiar,282
137,oer,281
138,abandonar,278
139,crecer,276
140,temer,274
141,cortar,273
142,cometer,272
143,decir él,272
144,prestar,271
145,ser,270
146,preparar,264
147,bailar,263
148,enviar,263
149,lavar,260
150,quieres,260
151,descubrir,259
152,valer,258
153,regresar,254
154,bajar,254
155,doler,254
156,resultar,253
157,cocinar,251
158,quitar,251
159,evitar,250
160,negar,249
161,faltar,248
162,construir,243
163,invitar,240
164,apagar,238
165,limpiar,237
166,alegrar,236
167,hagar,235
168,servir,233
169,sorprender,229
170,convertir,228
171,cuidar,224
172,probar,217
173,esconder,214
174,discutir,213
175,aparecer,213
176,meter,212
177,alcanzar,211
178,cumplir,209
179,besar,208
180,dijistir,207
181,reír,206
182,prometer,206
183,interesar,205
184,admitir,202
185,crear,200
186,merecer,196
187,deber,194
188,pintar,194
189,molestar,194
190,digar,193
191,mejorar,191
192,dar él,190
193,cruzar,190
194,reconocer,189
195,detener,187
196,escapar,184
197,ir él,184
198,sonreír,183
199,arreglar,182
200,almorzar,177
201,ver yo,176
202,saltar,176
203,obtener,176
204,gritar,175
205,disfrutar,174
206,déjamir,172
207,depender,171
208,actuar,171
209,mover,171
210,quedar él,170
211,soportar,170
