rank,lemma,count
1,buen,2122
2,nuevo,2112
3,mejor,1882
4,solo,1599
5,primero,1239
6,grande,1078
7,seguro,1012
8,difícil,976
9,gran,974
10,feliz,957
11,francés,911
12,último,884
13,pequeño,877
14,único,807
15,alto,787
16,pasado,780
17,rápido,755
18,bueno,737
19,fácil,688
20,mayor,677
21,viejo,675
22,importante,661
23,ocupado,636
24,junto,624
25,malo,615
26,cansado,579
27,fuerte,563
28,mismo,507
29,joven,507
30,largo,497
31,próximo,486
32,rico,485
33,suficiente,459
34,listo,432
35,duro,427
36,hermoso,426
37,posible,411
38,japonés,411
39,lleno,408
40,libre,406
41,interesante,399
42,cierto,393
43,capaz,391
44,blanco,381
45,bonito,381
46,rojo,372
47,humano,331
48,favorito,329
49,peligroso,327
50,negro,324
51,hecho,317
52,correcto,314
53,famoso,308
54,diferente,307
55,equivocado,306
56,extraño,299
57,vivo,293
58,triste,287
59,abierto,287
60,casado,276
61,inglés,275
62,inteligente,272
63,caro,268
64,sentado,268
65,muerto,267
66,peor,262
67,loco,261
68,pobre,254
69,imposible,251
70,estúpido,250
71,azul,250
72,orgulloso,250
73,igual,249
74,verdadero,247
75,segundo,247
76,necesario,241
77,siguiente,240
78,verde,237
79,claro,229
80,antiguo,228
81,caliente,226
82,español,226
83,alemán,220
84,enamorado,219
85,raro,215
86,dormido,215
87,divertido,213
88,frío,211
89,mal,210
90,buena,209
91,cerrado,208
92,chino,207
93,perfecto,206
94,acostumbrado,205
95,vo,204
96,preocupado,199
97,amable,199
98,bajo,196
99,bello,195
100,corto,194
101,popular,194
102,lindo,190
103,útil,189
104,contento,189
105,extranjero,185
106,debido,181
107,guapo,180
108,enfadado,180
109,justo,180
110,menor,179
111,oscuro,175
112,vacío,169
113,barato,169
114,cuidado,168
115,entero,165
116,aburrido,164
117,médico,162
118,dulce,161
119,canadiense,160
120,agradable,159
121,terrible,157
122,profundo,155
123,común,154
124,preparado,154
125,nativo,151
126,maravilloso,150
127,limpio,148
128,normal,147
129,sucio,146
130,real,145
131,enojado,144
132,nervioso,144
133,puesto,144
134,satisfecho,144
135,natural,144
136,interesado,144
137,amarillo,143
138,especial,142
139,afuero,142
140,propio,141
141,llamado,139
142,gordo,138
143,sorprendido,138
144,serio,137
145,perdido,136
146,roto,135
147,cercano,133
148,principal,132
149,simple,131
150,enorme,128
151,pesado,123
152,moderno,123
153,americano,122
154,fresco,122
155,falso,121
156,borracho,121
157,inocente,120
158,excelente,118
159,cubierto,117
160,culpable,116
161,ruso,116
162,tranquilo,115
163,feo,115
164,cómodo,114
165,social,113
166,escrito,112
167,dispuesto,112
168,harto,111
169,sencillo,111
170,completo,108
171,sano,108
172,probable,108
173,conocido,106
174,estadounidense,106
175,electrónico,105
176,consciente,103
177,tonto,102
178,bienvenido,102
179,seco,102
180,horrible,101
181,prohibido,101
182,parado,101
183,ciego,98
184,embarazado,98
185,cuarto,97
186,sabio,97
187,eléctrico,96
188,temprano,95
189,lento,95
190,herido,95
191,italiano,94
192,vestido,94
193,preferido,92
194,inútil,91
195,grave,90
196,hiciste,89
197,público,89
198,abandonado,89
199,despierto,88
200,distinto,88
201,habl,88
202,débil,88
203,mala,87
204,materno,87
205,izquierdo,86
206,mojado,86
207,internacional,85
208,tímido,85
209,saludable,85
210,complicado,84
211,gracioso,84
212,cuidadoso,84
213,vuestro,84
214,artificial,84
215,honesto,83
216,disponible,83
217,precioso,82
218,increíble,81
219,personal,81
220,asustado,81
221,brillante,81
222,celoso,81
223,derecho,80
224,helado,79
225,adecuado,79
226,económico,78
227,presente,77
228,mundial,77
229,genial,76
230,puro,76
231,valiente,76
232,prestado,76
233,político,74
234,incorrecto,74
235,absurdo,73
236,sincero,73
237,actual,73
238,ingenuo,73
239,doble,72
240,ausente,72
241,delicioso,72
242,anterior,71
243,solar,71
244,pescado,71
245,agradecido,71
246,atrapado,71
247,mínimo,70
248,privado,70
249,larga,70
250,cruel,70
251,ridículo,70
252,similar,70
253,griego,70
254,responsable,69
255,callado,69
256,vuelva,69
257,dicho,68
258,vuestra,67
259,convencido,66
260,gris,66
261,avergonzado,66
262,hambriento,65
263,nacional,65
264,atractivo,64
265,mentiroso,64
266,seguido,63
267,ayudarte,63
268,oficial,63
269,va,62
270,molesto,62
271,caluroso,62
272,polaco,62
273,ilegal,62
274,bilingüe,62
275,químico,61
276,decepcionado,60
277,incapaz,59
278,clásico,59
279,alegre,59
280,afortunado,59
281,cálido,59
282,ligero,58
283,cerdo,58
284,suave,58
285,sordo,58
286,independiente,57
287,científico,57
288,físico,57
289,urgente,57
290,local,57
291,paciente,57
292,emocionado,56
293,auténtico,56
294,sospechoso,55
295,obvio,55
296,superior,55
297,chico,54
298,apuesto,54
299,activo,54
300,querido,53
301,simpático,53
302,rodeado,53
303,romántico,53
304,encantador,52
305,incómodo,52
306,desnudo,52
307,comercial,52
308,crudo,52
309,infantil,52
310,original,52
311,usado,51
