rank,lemma,count
1,no,45101
2,más,8821
3,mucho,7149
4,aquí,3710
5,tanto,3654
6,ya,2940
7,bien,2790
8,nunca,2639
9,siempre,2412
10,ahora,2309
11,hoy,1931
12,antes,1689
13,demasiado,1487
14,así,1462
15,mañana,1440
16,todavía,1365
17,ayer,1267
18,después,1174
19,poco,1168
20,menos,1128
21,también,1061
22,sólo,1022
23,tarde,949
24,allí,892
25,casi,891
26,realmente,807
27,ahí,748
28,aún,736
29,solo,723
30,pronto,690
31,cerca,609
32,bastante,522
33,entonces,517
34,anoche,499
35,mal,496
36,acerca,452
37,temprano,416
38,fuera,402
39,lejos,381
40,mejor,368
41,jamás,344
42,dentro,327
43,allá,325
44,incluso,271
45,completamente,263
46,luego,251
47,apenas,251
48,alrededor,249
49,exactamente,230
50,ni,228
51,probablemente,224
52,simplemente,223
53,detrás,203
54,primero,201
55,finalmente,201
56,suficientemente,199
57,acaso,194
58,atrás,189
59,encima,181
60,totalmente,177
61,inmediatamente,175
62,debajo,174
63,rápidamente,173
64,tampoco,169
65,normalmente,152
66,quizá,149
67,delante,144
68,abajo,138
69,acá,131
70,verdaderamente,130
71,quizás,125
72,arriba,125
73,últimamente,120
74,adelante,119
75,algo,112
76,fácilmente,107
77,justo,105
78,nada,104
79,profundamente,103
80,sí,100
81,absolutamente,98
82,cuando,90
83,despacio,89
84,solamente,88
85,además,85
86,lentamente,84
87,extremadamente,82
88,claro,77
89,aproximadamente,73
90,igual,72
91,recientemente,68
92,perfectamente,67
93,aparte,64
94,desafortunadamente,62
95,generalmente,62
96,actualmente,62
97,enseguida,60
98,habéis,60
99,claramente,59
100,adentro,55
101,recién,54
102,aun,52
103,personalmente,51
104,nuevamente,49
105,especialmente,48
106,directamente,48
107,sencillamente,47
108,usualmente,46
109,muchísimo,45
110,correctamente,44
111,seguramente,43
112,frecuentemente,43
113,definitivamente,43
114,ciertamente,41
115,afortunadamente,40
116,mutuamente,39
117,constantemente,39
118,frente,36
119,mismo,36
120,cuidadosamente,35
121,comúnmente,35
122,fijamente,34
123,aparentemente,34
124,increíblemente,34
125,darte,33
126,seriamente,32
127,necesariamente,31
128,atentamente,31
129,principalmente,31
130,prácticamente,29
131,posiblemente,28
132,regularmente,27
133,deprisa,26
134,cuán,26
135,mantente,25
136,sinceramente,25
137,hasta,25
138,terriblemente,24
139,anteayer,24
140,estrictamente,24
141,únicamente,24
142,altamente,23
143,lamentablemente,23
144,precisamente,21
145,cuanto,21
146,repentinamente,20
147,mas,20
148,gravemente,20
149,enfrente,20
150,diariamente,20
151,físicamente,20
152,gratis,19
153,plenamente,19
154,sumamente,19
155,suavemente,19
156,fuertemente,18
157,enormemente,18
158,igualmente,18
159,antiguamente,18
160,literalmente,18
161,sorprendentemente,17
162,desgraciadamente,17
163,francamente,17
164,siquiera,17
165,cante,17
166,miente,16
167,justamente,16
168,automáticamente,16
169,hablante,16
170,raramente,16
171,esperándote,15
172,ligeramente,15
173,básicamente,15
174,relativamente,15
175,felizmente,15
176,tranquilamente,15
177,habitualmente,14
178,libremente,14
179,naturalmente,13
180,continuamente,13
181,ayudarte,13
182,excepcionalmente,13
183,rápido,13
184,leña,13
185,gramaticalmente,12
186,supuestamente,12
187,gradualmente,12
188,picante,12
189,seguro,11
190,peor,11
191,alegremente,11
192,accidentalmente,11
193,ponte,11
194,firmemente,11
195,severamente,11
196,considerablemente,11
197,sois,11
198,infinitamente,11
199,particularmente,11
200,eternamente,10
201,violentamente,10
202,parcialmente,10
203,arduamente,10
204,anteriormente,10
205,inesperadamente,10
206,efectivamente,10
207,oficialmente,10
208,injustamente,10
209,pon,10
210,voluntariamente,10
211,lees,10
212,excesivamente,10
213,pacientemente,10
214,vendrás,9
215,serpiente,9
216,silenciosamente,9
217,sabiamente,9
218,duramente,9
219,súbitamente,9
220,locamente,9
221,simultáneamente,9
222,nomás,9
223,sobrante,9
224,tremendamente,8
225,bienvenido,8
226,vuelvo,8
227,abiertamente,8
228,deliberadamente,8
229,originalmente,8
230,notablemente,8
231,fluidamente,8
232,sigilosamente,8
233,puramente,8
234,antaño,8
235,extraordinariamente,8
236,adecuadamente,8
237,maravillosamente,8
238,temporalmente,8
239,tolerante,8
240,inicialmente,8
241,sexualmente,7
242,enteramente,7
243,sirviente,7
244,escuche,7
245,educadamente,7
246,amablemente,7
247,secretamente,7
248,detalladamente,7
249,compre,7
250,llamarte,7
251,independientemente,7
252,honestamente,7
253,duro,7
254,urgentemente,7
255,cómodamente,7
256,asustarte,7
257,desodorante,7
258,paulatinamente,7
259,hábilmente,7
260,drásticamente,6
261,furiosamente,6
262,piénsalo,6
263,evidentemente,6
264,frenéticamente,6
265,incorrectamente,6
266,estresante,6
267,mentalmente,6
268,hagámoslo,6
269,id,6
270,radicalmente,6
271,intencionadamente,5
272,inevitablemente,5
273,rotundamente,5
274,progresivamente,5
275,anualmente,5
276,difícilmente,5
277,oyente,5
278,pregunte,5
279,genéticamente,5
280,salgo,5
281,morirás,5
282,indirectamente,5
283,arrugas,5
284,moralmente,5
285,sentarte,5
286,viviente,5
287,amargamente,5
288,tendrás,5
289,económicamente,5
290,hispanohablante,5
291,levemente,5
292,pacíficamente,5
293,lógicamente,5
294,condescendiente,5
295,verbalmente,5
296,volverás,4
297,brevemente,4
298,extrañamente,4
299,repetidamente,4
300,públicamente,4
301,típicamente,4
302,asimismo,4
303,alucinante,4
304,ansiosamente,4
305,bruscamente,4
306,aleatoriamente,4
307,redundante,4
308,tímidamente,4
309,legalmente,4
310,ampliamente,4
311,excelentemente,4
312,convenientemente,4
313,significativamente,4
314,tradicionalmente,4
315,socialmente,4
316,desnudo,4
317,exclusivamente,4
318,posteriormente,4
319,gratuitamente,4
320,respectivamente,4
321,profesionalmente,4
322,universalmente,4
323,previamente,4
324,casualmente,4
325,visiblemente,4
326,requetebién,4
327,razonablemente,4
328,nerviosamente,4
329,encontrarás,4
330,técnicamente,4
331,guante,3
332,largamente,3
333,culturalmente,3
334,ruidosamente,3
335,perdidamente,3
336,positivamente,3
337,prematuramente,3
338,teóricamente,3
339,tristemente,3
340,obtendrás,3
341,asombrosamente,3
342,ir,3
343,fundamentalmente,3
344,irremediablemente,3
345,ausente,3
346,esencialmente,3
347,científicamente,3
348,íntimamente,3
349,autosuficiente,3
350,invítalo,3
351,sistemáticamente,3
352,intendente,3
353,densamente,3
354,permanentemente,3
355,ridículamente,3
356,dental,3
357,potencialmente,3
358,mensualmente,3
359,indulgente,3
360,involuntariamente,3
361,virtualmente,3
362,medio,3
363,políticamente,3
364,gentilmente,3
365,detenidamente,3
366,majestuosamente,3
367,imprudentemente,3
368,ilegalmente,3
369,puntualmente,3
370,estrechamente,3
371,buscándolo,3
372,excelente,3
373,alfabéticamente,3
374,tomarte,3
375,desesperadamente,3
376,estupendamente,3
377,impunemente,3
378,excitante,3
379,vosotras,3
380,faltante,3
381,veintidós,3
382,indefinidamente,3
383,descendiente,3
384,pinte,3
385,intencionalmente,2
386,expresamente,2
387,ciegamente,2
388,momentáneamente,2
389,colectivamente,2
390,regresarás,2
391,condenadamente,2
392,satisfactoriamente,2
393,objetivamente,2
394,ocurrente,2
395,originariamente,2
396,concursante,2
397,agonizante,2
398,fiarte,2
399,valerosamente,2
400,pésima,2
401,dolorosamente,2
402,pararás,2
403,participante,2
404,atente,2
405,anótalo,2
406,concerniente,2
407,cautelosamente,2
408,estrepitosamente,2
409,indescriptiblemente,2
410,cercanamente,2
411,notoriamente,2
412,enfáticamente,2
413,alivia,2
414,pruébalo,2
415,repugnante,2
416,enfermo,2
417,peligrosamente,2
418,sutilmente,2
419,inconscientemente,2
420,devuelta,2
421,amén,2
422,activamente,2
423,cordialmente,2
424,vista,2
425,mientras,2
426,prefieres,2
427,genuinamente,2
428,recuperarte,2
429,ultimamente,2
430,pensante,2
431,inadecuadamente,2
432,elegantemente,2
433,boche,2
434,intensamente,2
435,minuciosamente,2
436,cortante,2
437,amás,2
438,eficazmente,2
439,miserablemente,2
440,preferiblemente,2
441,clemente,2
442,amistosamente,2
443,diplomáticamente,2
444,vivirás,2
445,admirablemente,2
446,prudente,2
447,estante,2
448,confortablemente,2
449,melancólicamente,2
450,denante,2
451,dulcemente,2
452,medianoche,2
453,narcotraficante,2
454,intente,2
455,inversamente,2
456,jugasteis,2
457,escalofriante,2
458,mayoritariamente,2
459,acabé,2
460,graciosamente,2
461,racionalmente,2
462,despectivamente,2
463,re,2
464,absorbente,2
465,formalmente,2
466,curiosamente,2
467,compulsivamente,2
468,imponente,2
469,malamente,2
470,erróneamente,2
471,vivificante,2
472,marcadamente,2
473,clarividente,2
474,etimológicamente,2
475,atrozmente,2
476,apabullante,2
477,emocionalmente,2
478,intelectualmente,2
479,poniente,2
480,armoniosamente,2
481,democráticamente,2
482,insultante,2
483,propiamente,2
484,alguién,2
485,aprenderás,2
486,punzante,2
487,bueno,2
488,significante,2
489,nerd,2
490,valgo,2
491,tuvisteis,2
492,andante,2
493,pesadamente,2
494,parpadeante,2
495,neurodivergente,2
496,mamuts,2
497,uwu,2
498,anuente,2
499,afortunadameente,2
500,perseverante,1
