rank,phrase,count,n
1,de españa,106,2
2,en españa,87,2
3,millones de,42,2
4,del mundo,41,2
5,el país,41,2
6,la península,36,2
7,del país,30,2
8,del siglo,28,2
9,artículo principal,27,2
10,españa es,26,2
11,la década,26,2
12,del gobierno,26,2
13,de castilla,24,2
14,de europa,23,2
15,españa en,23,2
16,el siglo,23,2
17,la unión,22,2
18,la constitución,22,2
19,la guerra,22,2
20,década de,22,2
21,península ibérica,21,2
22,de millones,21,2
23,de madrid,20,2
24,la población,20,2
25,la corona,19,2
26,españa y,19,2
27,españa se,18,2
28,de aragón,18,2
29,los principales,18,2
30,presidente del,18,2
31,el sector,18,2
32,red de,18,2
33,los países,17,2
34,a españa,17,2
35,el año,17,2
36,el norte,16,2
37,las islas,16,2
38,la organización,16,2
39,siglo xx,16,2
40,del pib,16,2
41,la economía,15,2
42,de barcelona,15,2
43,firmado y,15,2
44,y ratificado,15,2
45,reino de,14,2
46,guerra de,14,2
47,las elecciones,14,2
48,la comunidad,14,2
49,la red,14,2
50,de euros,14,2
51,la literatura,14,2
52,unión europea,13,2
53,norte de,13,2
54,media de,13,2
55,el mundo,13,2
56,se produjo,13,2
57,rey de,13,2
58,corona de,13,2
59,ratificado firmado,13,2
60,la monarquía,12,2
61,comunidades autónomas,12,2
62,conjunto de,12,2
63,mundo en,12,2
64,la zona,12,2
65,castilla y,12,2
66,de córdoba,12,2
67,artículos principales,12,2
68,número de,12,2
69,las principales,12,2
70,el territorio,11,2
71,la edad,11,2
72,la ciudad,11,2
73,historia de,11,2
74,el rey,11,2
75,del territorio,11,2
76,de león,11,2
77,el resto,11,2
78,batalla de,11,2
79,en madrid,11,2
80,gobierno de,11,2
81,país vasco,11,2
82,un país,10,2
83,la muerte,10,2
84,la historia,10,2
85,de sevilla,10,2
86,reinado de,10,2
87,del rey,10,2
88,europa occidental,10,2
89,en cataluña,10,2
90,las cortes,10,2
91,el gobierno,10,2
92,elecciones generales,10,2
93,de soberanía,9,2
94,de áfrica,9,2
95,frente a,9,2
96,la mayoría,9,2
97,muerte de,9,2
98,la palabra,9,2
99,ciudad de,9,2
100,de forma,9,2
101,el reino,9,2
102,la batalla,9,2
103,valle del,9,2
104,la crisis,9,2
105,puerto de,9,2
106,estados unidos,9,2
107,congreso de,9,2
108,los diputados,9,2
109,de comunicación,9,2
110,españa ha,9,2
111,de ámbito,9,2
112,se encuentran,9,2
113,es hablado,9,2
114,de gobierno,8,2
115,las ciudades,8,2
116,serie de,8,2
117,de enero,8,2
118,la soberanía,8,2
119,más importantes,8,2
120,economía española,8,2
121,española en,8,2
122,mayoría de,8,2
123,proceso de,8,2
124,guerra civil,8,2
125,el desarrollo,8,2
126,siglo xix,8,2
127,edad media,8,2
128,el reinado,8,2
129,las zonas,8,2
130,nacional de,8,2
131,españa que,8,2
132,el valle,8,2
133,del ebro,8,2
134,el puerto,8,2
135,las comunidades,8,2
136,españa la,8,2
137,la sociedad,8,2
138,conocido como,8,2
139,mismo año,8,2
140,de autonomía,8,2
141,la ley,8,2
142,de diciembre,8,2
143,la ue,8,2
144,el periodo,8,2
145,países de,8,2
146,últimas décadas,8,2
147,españa tiene,8,2
148,comunidad autónoma,8,2
149,la media,8,2
150,la energía,8,2
151,mundial de,8,2
152,la producción,8,2
153,islas canarias,7,2
154,una serie,7,2
155,de población,7,2
156,enero de,7,2
157,al norte,7,2
158,y aragón,7,2
159,a principios,7,2
160,principios del,7,2
161,país en,7,2
162,francisco franco,7,2
163,la democracia,7,2
164,y social,7,2
165,de hispania,7,2
166,españa a,7,2
167,españa el,7,2
168,de alfonso,7,2
169,de asturias,7,2
170,los años,7,2
171,los cristianos,7,2
172,véanse también,7,2
173,la victoria,7,2
174,fuente de,7,2
175,resto del,7,2
176,provincia de,7,2
177,de toledo,7,2
178,resto de,7,2
179,la conquista,7,2
180,el caso,7,2
181,española y,7,2
182,de mayo,7,2
183,constitución española,7,2
184,abril de,7,2
185,finales del,7,2
186,españa españa,7,2
187,la provincia,7,2
188,la industria,7,2
189,la competencia,7,2
190,sahara occidental,7,2
191,del sector,7,2
192,de kilómetros,7,2
193,el mar,6,2
194,los pirineos,6,2
195,francia y,6,2
196,de gibraltar,6,2
197,patrimonio de,6,2
198,la humanidad,6,2
199,país del,6,2
200,organización de,6,2
201,constitución de,6,2
202,el llamado,6,2
203,véase también,6,2
204,nombre de,6,2
205,los romanos,6,2
206,la actual,6,2
207,isidoro de,6,2
208,su hijo,6,2
209,la nación,6,2
210,la región,6,2
