front,back,pos,claude_classification
to be (permanent),ser,VERB,1 - Core Essentials
to be (temporary),estar,VERB,1 - Core Essentials
to have,tener,VERB,1 - Core Essentials
to do/make,hacer,VERB,1 - Core Essentials
to go,ir,VERB,1 - Core Essentials
to be able to/can,poder,VERB,1 - Core Essentials
to say/tell,decir,VERB,1 - Core Essentials
to give,dar,VERB,1 - Core Essentials
to see,ver,VERB,1 - Core Essentials
to want/love,querer,VERB,1 - Core Essentials
to know (facts),saber,VERB,1 - Core Essentials
to come,venir,VERB,1 - Core Essentials
to talk/speak,hablar,VERB,1 - Core Essentials
to put/place,poner,VERB,1 - Core Essentials
to owe/must,deber,VERB,1 - Core Essentials
to think,pensar,VERB,1 - Core Essentials
to arrive,llegar,VERB,1 - Core Essentials
to pass/happen,pasar,VERB,1 - Core Essentials
to carry/wear,llevar,VERB,1 - Core Essentials
to leave/let,dejar,VERB,1 - Core Essentials
to leave/go out,salir,VERB,1 - Core Essentials
to follow/continue,seguir,VERB,1 - Core Essentials
to return,volver,VERB,1 - Core Essentials
to take/drink,tomar,VERB,1 - Core Essentials
to know (people),conocer,VERB,1 - Core Essentials
to seem/appear,parecer,VERB,1 - Core Essentials
to stay/remain,quedar,VERB,1 - Core Essentials
to believe,creer,VERB,1 - Core Essentials
to find/meet,encontrar,VERB,1 - Core Essentials
to call,llamar,VERB,1 - Core Essentials
to live,vivir,VERB,1 - Core Essentials
to look/watch,mirar,VERB,1 - Core Essentials
to feel/regret,sentir,VERB,1 - Core Essentials
to wait/hope,esperar,VERB,1 - Core Essentials
to ask for/request,pedir,VERB,1 - Core Essentials
to understand,entender,VERB,1 - Core Essentials
to look for/search,buscar,VERB,1 - Core Essentials
to work,trabajar,VERB,1 - Core Essentials
to begin/start,empezar,VERB,1 - Core Essentials
to remember,recordar,VERB,1 - Core Essentials
to count/tell,contar,VERB,1 - Core Essentials
to need,necesitar,VERB,1 - Core Essentials
to read,leer,VERB,1 - Core Essentials
to write,escribir,VERB,1 - Core Essentials
to eat,comer,VERB,1 - Core Essentials
to drink,beber,VERB,1 - Core Essentials
to listen,escuchar,VERB,1 - Core Essentials
to ask (a question),preguntar,VERB,1 - Core Essentials
to respond/answer,responder,VERB,1 - Core Essentials
to understand,comprender,VERB,1 - Core Essentials
to help,ayudar,VERB,2 - High Frequency
to treat/try,tratar,VERB,2 - High Frequency
to finish/end,terminar,VERB,2 - High Frequency
to lose,perder,VERB,2 - High Frequency
to bring,traer,VERB,2 - High Frequency
to change,cambiar,VERB,2 - High Frequency
to sleep,dormir,VERB,2 - High Frequency
to run,correr,VERB,2 - High Frequency
to open,abrir,VERB,2 - High Frequency
to close,cerrar,VERB,2 - High Frequency
to fall,caer,VERB,2 - High Frequency
to hear,oír,VERB,2 - High Frequency
to show,mostrar,VERB,2 - High Frequency
to receive,recibir,VERB,2 - High Frequency
to allow/permit,permitir,VERB,2 - High Frequency
to exist,existir,VERB,2 - High Frequency
to enter,entrar,VERB,2 - High Frequency
to appear,aparecer,VERB,2 - High Frequency
to achieve/get,conseguir,VERB,2 - High Frequency
to begin/start,comenzar,VERB,2 - High Frequency
to explain,explicar,VERB,2 - High Frequency
to achieve/manage,lograr,VERB,2 - High Frequency
to learn,aprender,VERB,2 - High Frequency
to play,jugar,VERB,2 - High Frequency
to go up/climb,subir,VERB,2 - High Frequency
to go down/lower,bajar,VERB,2 - High Frequency
to buy,comprar,VERB,2 - High Frequency
